labeling,sentence
0,계속되는 야근으로 지쳐 휴직서를 썼는데 수리가 돼서 기뻐.
3,아침마다 옆집 할머니 인기척이 없으면 괜히 불안해져.
1,내 동생 참 한심하다. 아토피에 좋다고 검증도 안 된 민간요법만 믿고 있어.
1,고지혈증 걸린 친구가 여전히 기름기 많은 음식을 먹고 있어서 한심해 보여.
4,직장 상사와의 갈등으로 회사 생활이 너무 힘들어.
2,날이 갈수록 기력이 약해져서 집안일을 하기가 너무 벅차.
4,이번에 승진 시험에서 탈락해서 화가 나.
5,아빠의 공부 강요 때문에 자살 시도까지 했는데 사과도 안 하셨어. 날 공부하는 기계로 봐서 슬퍼.
0,드디어 내 분야에서 많은 사람에게 인정받게 됐어.
2,과장님이 기간이 짧은 일을 너무 많이 주셔서 그냥 대충 해버렸어. 짜증 나.
0,오늘 친구들이랑 진솔하게 얘기하고 화해했어. 관계를 회복할 수 있어서 좋았어.
4,요즘 자식들을 보고 싶은데 코로나 때문에 만날 수가 없어서 안타까워.
5,엄마가 공부에 방해된다고 내 핸드폰을 뺏어버렸어. 너무 슬퍼.
0,직장에서 큰 실수를 해서 시말서도 쓰고 해고될 줄 알았는데 다행히 잘 해결되었어. 요즘 경기가 어려워서 해고되면 다른 직장을 구하기도 어려운 데 정말 다행이야.
3,나이가 아흔이 되니까 누워만 있게 돼. 사는 재미가 없어.
1,요즘 가족들과 함께 있어도 늘 혼자인 것 같아 외로워.
4,이번 시험 결과 반에서 늘 상위권이었는데 성적이 떨어져 충격받았어.
1,내가 그날 만나자고 조르지 않았다면 친구가 사고가 나지 않았을 텐데!
3,가뜩이나 불면증이 있는데 위층으로 누가 이사 온 후 소음이 심해 진절머리가 나.
3,실수한 일에 대해 무슨 처분을 받게 될지 알 수 없어서 불안하네.
3,사회에서 노인이라고 차별당하는 것이 두려워.
2,의사가 멀쩡한 이를 뽑으려고 했어. 너무 화가 나.
1,부모님이랑 크게 싸웠어.
5,오늘 은행에 대출 상담을 받고 왔는데 거절당했어. 어떻게 해야 할지 막막하네.
2,선생님이 끼어들어서 무슨 일이냐고 자꾸 케물으시는데 그게 오히려 성가시기만 해.
5,힘들어서 엄마에게 말하고 싶은데 걱정하시겠지?
2,학교 선생님이 내 성적 보고 꿈을 무시해서 너무 화가 나.
0,유학 갔던 딸이 공부를 마치고 귀국해. 너무 기다려져.
2,학교에서 따돌림 당하는 게 너무 억울하고 화가나.
3,오늘 내 생일이었는데 부모님이 내가 싫어하는 음식을 사 오셔서 당황했어.
2,아들이 도박에 빠져 집을 뒤져서 돈 될 만한 것을 찾아. 미치겠어.
2,내가 공부해서 진학하고 싶은 분야는 따로 있는데 왜 아무도 응원해주지 않는 건지 도대체 이해가 안 가.
3,한의원에서 지어온 보약이 내 몸에 안 받는 것 같아. 계속 먹어도 되는 건지 잘 모르겠어.
3,일자리도 없는데 돈도 점점 떨어지네.
2,나 혼자 한번 살아보고 싶은데 부모님이 위험하다고 무조건 반대를 하시네.
0,아들이 날 많이 닮아서 고지식한데 바르게 살려 노력해서 기뻐.
0,건강검진에서 결과가 아주 좋게 나왔어. 내가 건강 빼면 시체지.
0,혈압이 정상으로 돌아왔대!
3,엄마가 나를 진심으로 사랑해 주고 있지만 아빠가 보고 싶어. 그리움 때문에 힘들어.
0,딸의 남자친구를 만났는데 너무 괜찮았어.
3,내가 괴롭히던 애가 선생님께 학교 폭력 사실을 알릴까 봐 두려워.
2,오빠 물건을 숨겨뒀는데 못 찾겠지?
5,처음 일하는 신입 사원한테 너무 심하게 야단친 것 같아 후회가 돼.
2,아니 업무 분담을 왜 한 건지 본인이 해야 할 일도 모르나?
1,아내가 뇌졸중으로 쓰러졌는데 건강할 때 제주도 한 번 데려가지 못해서 후회스러워.
3,아들이 밤새 게임만 해서 걱정이야. 커서 뭐가 되려고 그러는지.
0,우리 며느리가 순산해서 첫손주가 건강하게 잘 태어났어. 이보다 더 행복할 수 없어.
3,나의 부양 문제를 두고 싸우는 자식들의 소리를 들었어. 어떻게 될지 불안해.
3,보험금을 받아 사업체에 투자했는데 잘못될까 봐 불안해.
4,회사에서 낙하산으로 들어온 옆 부서 부장만 대놓고 편애하고 있어서 화가 나.
2,학교 폭력을 해결해 줄 것도 아닌데 도와주겠다고 나서는 애들 때문에 오히려 좀 짜증이 나.
0,오늘 합격 통지를 받았어. 눈물이 났어.
5,사십 대 중반인데 벌써 폐경기가 와서 그런지 요즘 감정 기복이 심해지고 자꾸 우울해.
5,부모님을 모시느라 결혼도 포기했는데 내 노후는 어떻게 해야 할까?
2,언니가 계속 내 물건을 함부로 사용해서 짜증 나.
1,요새 사람들이랑 안 만났더니 외로워.
4,친하게 지내던 황 노인의 병세가 악화했지만 내가 할 수 있는 게 없어서 슬펐어.
4,아내가 떠나간 후에 우울증이 왔는데 그 이후로 다른 사람들의 위로를 받아도 아무런 도움이 되지 않았어.
3,발표할 때 자료 준비를 동료가 했는데 중요한 부분 자료가 잘못 들어가 있더라고.
5,사람을 만나기가 싫군.
5,오늘 부장님께 제안서를 써서 제출했는데 다시 하라고 하셔서 기분이 안 좋아. 벌써 몇 번째인지 몰라.
3,딸이 파혼하겠대.
0,형이랑 물놀이 하다가 신발이 떠내려 갔는데 돌덩이에 걸렸어. 신발이 걸려서 천만다행이야.
1,우리 엄마 아빠는 옷을 너무 못 입는 것 같아.
2,재정 문제에 구역질이 나.
0,어제 부모님과 싸웠는데 글쎄 부모님께서 먼저 미안하다고 하신 거 있지? 이런 적 처음이야.
0,새로 옮긴 부서의 근무시간이 유연해 갑자기 일이 생겨도 문제가 없어 더 편하고 좋아.
0,곧 인사평가 시즌인데 할당 실적을 다 채워서 평가를 잘 받을 수 있을 거 같아!
1,난 항상 다른 사람을 만날 때 또 다른 사람들의 시선을 의식하게 되는 것 같아.
0,가족 여행에서 신나하는 아이의 모습을 보고 나도 덩달아 들떴어.
4,팀장님이 나한테 단벌 신사라고 하셨는데 진짜 부끄러운 거 있지.
5,시험문제로 스터디 그룹 친구와 싸우게 됐는데 다른 친구들이 나만 비난해.
3,김 씨가 내가 먹는 건강식품마다 알려달라고 귀찮게 해서 스트레스받아.
3,성격이 불같은 사장님이 큰 소리로 말을 할 때마다 두려운 분위기가 감돌아.
4,일흔이 되도록 나는 늘 더 젊어지고 건강해지고 싶었어.
2,친구 때문에 너무 화가 나.
1,늦잠을 자는 바람에 중요한 자료를 깜빡하고 집에 놓고 왔어. 당황스러워.
1,평소 눈 건강에는 자신이 있었는데 노안이 왔다는 거야. 정말 당황했어.
0,회사를 그만둘 때 걱정 많았는데 프리랜서하면서 많은 일들을 맡았어. 좋은 시작을 한 것 같아서 기분이 좋네.
2,모두가 자기 자신의 이익만을 생각하고 일하는데 그런 태도가 보기 역겨워.
3,어제 맞고 온 동생을 데리고 바로 경찰서에 다녀왔어.
3,친구가 고혈압으로 쓰러져서 입원했는데 너무 걱정스러워.
1,엄마 생각해서 아들이 어렵게 종합건강검진을 예약했는데 완전히 잊어버리고 못 간 걸 오늘 알았어.
1,식사하고 있는데 맞은 편에 있는 사람이 자꾸 나를 쳐다보는 것 같아서 신경 쓰였어.
1,한 직원이 거래처와 계약을 하면서 뒤로 돈을 챙긴 사실을 알게 되었어. 혼란스럽네.
5,곧 있으면 수술실에 들어가는데 아내만 와있고 자식들은 한 놈도 병원에 오지를 않았어. 너무 속상하고 씁쓸해.
5,나는 원래 심근경색이 있었는데 오늘 갑자기 심장마비가 일어나서 죽을 뻔했어.
0,드디어 내일이면 프로젝트가 끝나. 벌써 홀가분해!
2,회사 업무에서 성과를 내고 싶은데 동기들만 승승장구 하고 있는 것 같아서 솔직히 기분이 안 좋아.
4,하루하루 나이만 먹어가고 친구들은 하나둘씩 이 세상을 등지고 떠나.
2,우유는 골다공증과 관련이 없는데 아내가 자꾸 우유를 마시라고 강요해.
2,회사에서 실수를 많이 하는 부하 직원의 무신경함에 이젠 화가 나.
3,친구가 아내 병원비 때문에 고생하는 것 알지만 빌려주는 게 어렵네.
1,이혼한 아내를 만나서 오랜만에 재미있었고 좋았는데 갑자기 눈물이 흘렀어.
3,노후에 대해 준비해놓은 게 없어.
2,친구가 잘난 척하는 모습이 마음에 안 들어서 친구 숙제를 쓰레기통에 버렸어.
0,부모님께 좋은 식당에서 대접하기로 했어. 기대된다.
5,연애하는 사람들 보면 한심해 보여. 혼자서 할 수 있는 일이 얼마나 많은데.
4,직장에서 상사의 비리를 알게 됐는데 어떻게 해야 할지 괴로워.
2,아들이 제발 방 좀 치우고 살았으면 좋겠어. 매일 내가 치워주기만 하니 시간이 갈수록 화가 나.
5,계속해서 건강이 나빠지고 있어. 그래서 이제 약 먹는 것도 귀찮아.
2,오늘 직원이 작은 실수를 했는데 욱해서 폭언을 했어.
4,같은 반 애가 내 뺨을 때렸는데 아무도 맞은 나를 신경 쓰지 않아.
4,어제 친구를 만났는데 어찌나 팔팔하든지 부럽더라.
4,나는 결혼하고 내 삶이 없어진 느낌이야. 마치 나를 온전히 희생시키고 있는 기분이랄까.
5,고혈압 수치가 더 악화됐어. 순간 다리 힘이 빠져서 넋이 나가 있었어.
2,아내가 결혼반지를 잃어버린 걸 내게 숨기고 있었어. 너무 화가 나.
2,옆집 김 씨가 담배를 피울 때마다 집까지 냄새가 들어와서 짜증이 나 죽겠어.
0,내가 회사에서 동기 중 제일 먼저 승진을 했어.
1,건강을 좀 챙길걸.
1,친한 친구의 비밀을 다른 친구에게 말해버렸어. 미안해서 어떻게 하지?
0,수학은 내가 우리 반에서 제일 잘하는 것 같지 않아?
1,내가 너무 소심해서 말을 잘 못 하니까 모두 나한테 불친절하게 대할 것 같아.
4,내가 임신을 했다고 하니 남자친구가 헤어지자고 해서 지금 배신감에 몸이 떨려.
3,사내연애를 들킬까 봐 불안해.
1,나는 뭐든지 열심히 하지 않아. 그런 내가 너무 싫어.
0,드디어 나한테도 동생이 생겨서 너무 기뻐.
2,오늘 화 많이 났다.
3,여자친구가 배가 아프다고 해. 그래서 업고 병원을 찾는 중인데 보이질 않아.
3,집안에 유전병이 있는데 형님이 그 병 때문에 위독하다고 해서 당혹스러워
1,오늘 반에서 남자애들이 여자애들에 대한 이상한 얘기를 하는 걸 들었는데 너무 역겨웠어.
5,괴롭히는 상황에서 친구가 나를 모른 체했어. 이제부터는 친구가 도와줄 거라는 괜한 기대는 하지 않을 거야.
2,선생님께 내가 하고 싶은 일을 말했더니 그 직업은 돈 못 버는 직업이라고 하셔.
0,요새 소화불량 증세가 나타나서 산책하기 시작했더니 좋아져서 다행이야.
3,아내가 잠이 와야 한다며 하루에 반병씩 꼭 술을 먹어서 불안해.
3,집 앞에 날 괴롭히던 애가 기다리고 있어서 너무 놀라고 당황스러웠어.
0,고혈압으로 쓰러졌지만 응급구조대가 제때 도착해서 안도했어.
3,아들 때문에 일 년에 몇 번씩은 열 받네.
4,설마 내가 독거노인이 될 줄은 몰랐어. 정말 외롭고 버려진 기분이야.
0,난 내 나이에 재정 상태 하나는 자신해.
2,남편은 아기가 울어도 시끄럽다고 하면서 회사로 출근을 해. 정말 속상해.
2,올해 취업 못하면 내년에는 취업하기가 더 어려울 것 같아.
4,길을 걷는데 모르는 사람이 나를 보고 욕을 했어.
2,일은 내가 훨씬 잘하는데 승진은 나보다 일 못 하는 다른 사람이 돼서 화가 나!
3,중학생 딸이 거리에서 담배를 피우고 있는 걸 봐버렸어.
4,너무 억울하네. 내가 가르쳐준 대로 일하지 않은 신입 때문에 차장님에게 혼이 났어.
3,공무원 시험을 준비했지만 합격하지 못해서 앞날이 불안하고 스트레스를 받아.
1,술집에서 술에 취해 친구랑 싸우다가 경찰서까지 갔어. 너무 부끄럽더라고.
0,요즘 노인정 가는 게 즐거워 .
0,이번에 새로 옮긴 회사는 업무도 깔끔하고 동료들도 정말 좋아서 아주 마음에 들어.
2,나한테 쓸데없는 일로 고민 상담하는 애가 있는데 얄미워서 일부러 부정적인 얘기만 해줬어.
3,나는 그냥 장난으로 친구를 때렸는데 친구가 나를 신고했어 처벌받을까 두려워.
5,남편이 변해버린 모습이 실망스러워.
4,회의에서 아무도 내 의견을 들어주지 않아. 외톨이가 된 기분이야.
4,내 조상 중에서는 뇌 질환 때문에 오래 사신 분이 없대. 가족력 때문에 삶이 남지 않은 것 같아 너무 허무해.
3,친구가 우리 누나와 사귄대. 친구와 어떻게 되는 걸까?
3,딸이 사춘기인가 봐. 자기 방에만 틀어박혀 있고 짜증이 늘었어.
1,정말 부끄러워 죽을 것 같아.
3,자식들이 나를 양로원에 보내려는 것을 알게 되었어. 너무 불안해.
0,아마 우리 가족만큼 화목한 가정은 세상 어디에도 없을 거야.
0,내 딸이 공부를 잘해서 다행이야.
2,직원들이 주인의식이 없으니 고군분투해도 힘만 빠지네.
1,어릴 때부터 우리 막내딸이 몸이 안 좋았어. 요즘은 아무것도 못 한다고 속상해하더라고.
0,딸이 다행히 내 마음에 안 드는 남자친구와 헤어졌어. 몰래 안도했어.
4,부부동반 모임을 갖는데 아내가 참석하지 않으려 해서 속상해.
4,직장 동료들에게 식사를 대접하지 못해서 속상해.
1,자식은 부모에게 어쩔 수 없는 영원한 짝사랑 상대인 것 같아.
0,내일 친구랑 놀러 가기로 했어 너무 신난다.
5,저번 학기 때보다 성적이 떨어져서 선생님께 한 소리 들었어.
1,내 스스로가 너무 한심해. 남편 때문에 병을 얻었는데 남편 걱정을 하고 있잖아.
2,왜 난 항상 잔병들이 많은지 짜증이 나.
5,엄마 아빠가 다툰 이후로 집안엔 고요함만 맴돌아.
0,나를 따돌리던 친구에게 진심이 담긴 사과를 받으니 이제야 마음이 놓이는 것 같아.
0,드디어 나를 괴롭히던 박대리가 지방으로 발령이 났어. 이제 일 못 한다고 갈구는 사람이 사라졌으니 회사 생활도 좋아지겠지. 내일부터 회사 가는 길이 즐거울 것 같아.
1,직원들이 자기 소유물이라도 되는 것처럼 생각하는 상사의 행동이 너무 당황스러워.
2,결혼. 결혼. 결혼. 정말 구역질 나.
3,회사에서 대기발령을 받았어.
1,내 아들이 마흔인데 아직도 장가를 못 갔어. 옆집 철수네는 장가를 갔던데 한심해.
2,엄마가 말도 없이 내 노트를 버렸어.
0,내가 구직으로 고민 중인데 내 친구가 자기네 회사에 구인광고를 알려줬어.
0,아내가 가계 관리를 잘해줘서 내가 이렇게라도 잘 사는 거 같아 너무 고마워.
0,허리 디스크 치료를 하고 나서 소파 없이 텔레비전을 볼 수 있어 감사하고 행복해.
2,고등학생이 되니 공부를 해야 하는데 너무 귀찮아.
1,지하철에서 시끄럽게 통화하는 노인들을 보면 너무 싫고 내가 다 부끄러울 정도야.
2,빨리 건강검진 결과가 나왔으면 좋겠는데 이상이 있을까 봐 불안해서 생활이 안 돼.
2,내 친구가 자꾸 내 앞에서 담배를 피우는 게 너무 악의적인 게 느껴져 화가 나.
2,왜 맨날 나에게만 많은 업무량을 주는 걸까? 너무 화나!
4,요즘 엄마가 나만 혼내서 너무 억울해.
4,남편이 이혼하자고 해서 했는데 이혼하자마자 자살을 했어. 너무 충격적이야.
3,나는 사람들이 너무 무섭고 두려워.
2,과장이 동기한테 성희롱적인 말을 했을 때 구역질이 났어.
5,며칠 내내 회사에서 혼만 나고 집에 오니까 정신이 없다.
4,환갑이 되니깐 아프지 않아도 희생된 기분이야.
3,요즘 남편이 자꾸 집에 늦게 들어오네.
0,오늘은 참 기분이 좋은 날이야.
4,우울증이 생긴 이후로 방에서만 살고 있어. 너무 외로워.
5,아내가 돈 때문에 무릎 퇴행성관절염을 방치하다가 큰 수술을 받게 됐어. 돈이 뭔지 마음이 안 좋아.
0,결혼을 못 할 줄 알았던 딸이 드디어 좋은 사람을 만나 결혼하게 되어서 정말 안심이야.
1,다른 사람이랑 길을 가다 구걸하는 사람을 보면 선뜻 돈을 주게 돼.
3,언니가 항암치료를 받겠다고 한 게 맞는 결정인지 잘 모르겠어. 항암치료에 회의적인 마음이 들어.
3,요즘 고민이 많아.
2,요즘 둘째 말과 행동이 너무 공격적이야.
4,내 친구가 내 꿈을 비난해서 너무 상처받았어.
2,매번 약속 시간 때마다 늦는 친구가 있어. 한두 번도 아니고 맨날 기다리기 힘들어.
4,새로 가입한 배드민턴 동호회 사람들이 나랑 치기 싫어하는 거 같아. 너무 상처받았어.
0,이제 죽을 때가 다되어서 그런지 어떻게 세상을 잘 떠날 수 있을지를 생각해.
1,자식들에게 병원비 부탁했는데 다들 싫어하는 눈치라서 너무 당황스러워.
4,빨리 아르바이트를 구해야 할 텐데 요즘 일자리를 구하기가 쉽지 않네.
2,자식들은 돈을 요구할 때마다 나에게 잘해.
3,지금 하고 있는 프로젝트가 혹여나 내 실수 때문에 무산될까 봐 불안한 마음이야.
2,가정형편이 어려운데 집 문제까지 터지니 머리가 너무 아프네.
0,며느리가 내 건강 생각해서 식단에 공을 들여 줘서 너무 고마운 것 같아.
3,친구들이 자꾸 아프다는 소식이 들려오는데 그들을 먼저 떠나보내게 될까 두렵구나.
4,나는 분명 범인이 아니라고 얘기했는데 아무도 믿어주지 않아서 징계를 받았어. 힘들어.
5,회사 사정이 분명히 안 좋으니 상사가 안심하라는 거겠지. 슬프다.
0,오늘 드디어 취업했어.
1,너무 혼란스러워. 밝았던 친구가 우울증으로 자살했다는 것이 믿겨지지 않아.
4,오늘 입주민 때문에 정말 짜증 났어.
3,딸이 큰 수술을 받았는데 깨어나지 않고 있어. 영영 못 깨어날까 봐 두려워.
2,내 친구를 다른 애가 발로 차서 넘어져 다쳤어. 화나고 속상해.
2,건강검진을 했는데 당장 살을 빼지지 않으면 위험 할 수도 있다는군.
4,돈을 벌기 위해 나 혼자 시골에 내려와 농사를 시작했어. 남은 인생도 가족들을 위해 희생하는 거 같아.
3,아들이 아침을 차려줘도 먹지 않아. 그래서 좀 속이 상해.
5,난 태어날 때 희귀 유전병을 가지고 있었어. 분명 난 불운의 아이콘이야.
2,남편이 설거지한다 해 놓고 해놓질 않았어. 왜 약속을 지키지 않는 거야.
4,친구들은 모두 발전하는데 나 혼자 뒤떨어져 있는 것 같아 두려워.
2,우리 집도 꼭 강아지를 키웠으면 좋겠는데 부모님은 아직 고민 중이셔.
