label,document,Angry,Sadness,Fear,Hurt,embarrassed,Happiness,Thankful,Peaceful
0,밤낮없이 일하는데도 살림살이는 늘 그대로야. 가장으로서 체면이 말이 아니네.,1,0,0,0,0,0,0,0
1,업무 마감스케줄을 정확하게 정하고 이 시간 안에 업무를 완료하면 정시에 퇴근하겠다고 말씀 드려야겠어.,0,1,0,0,0,0,0,0
4,듣기 싫은 표정을 하는 친구에게 그런 표정을 짓지 말라고 한마디 해야겠어.,0,0,0,0,1,0,0,0
0,얼굴 보기도 싫어. 인연을 끊든가 해야지.,1,0,0,0,0,0,0,0
2,이 나이가 되도록 집 한 채도 없고 하루하루가 걱정이야.,0,0,1,0,0,0,0,0
4,글쎄 노후에도 할 수 있는 일을 찾아봐야지. 친구들과 친목도 다지고.,0,0,0,0,1,0,0,0
7,내가 바빠서 남편하고 애들을 잘 못 챙겼었거든. 그래서 불만들이 다소 있었는데 이제는 좋아졌어.,0,0,0,0,0,0,0,1
4,딸한테 전화해봐야겠어. 우리 딸과 대화하면 기분이 나아질지도 몰라.,0,0,0,0,1,0,0,0
5,갑자기 허리가 많이 아팠는데 그걸 알아챘는지 자리를 양보해주더라고.,0,0,0,0,0,1,0,0
6,내 마음이 담긴 부담스럽지 않을 정도의 조그마한 선물을 해야겠어.,0,0,0,0,0,0,1,0
6,응모전 경험이 많은 선배와 같이 나가서 걱정을 좀 덜었어.,0,0,0,0,0,0,1,0
7,이제 나도 후배가 생겨서 너무 좋아.,0,0,0,0,0,0,0,1
7,다행이야. 며칠 기침을 해서 병원에 갔더니 단순 감기래.,0,0,0,0,0,0,0,1
5,그동안 늦게 퇴근해서 잠만 자고 출근했는데 이젠 퇴근 후 나만의 시간이 있어서 좋아.,0,0,0,0,0,1,0,0
2,바로 준비해서 병원을 가봐야겠어.,0,0,1,0,0,0,0,0
3,더 이상 자식들한테 손 벌리는 것도 눈치가 보여서 취직을 하려고 하는데 아르바이트도 안 구해져.,0,0,0,1,0,0,0,0
5,아내가 아이를 뱄대.,0,0,0,0,0,1,0,0
1,몸이 힘든 것도 힘들지만 남편이 나아질 기미가 안 보여 마음이 힘들어.,0,1,0,0,0,0,0,0
4,좋아하는 선생님이라 부끄러웠어. 얼굴까지 빨개졌는데 티 났으면 어쩌지?,0,0,0,0,1,0,0,0
1,돈을 빌려가서 갚지도 않은 친구가 돈을 더 빌려달라고 해. 환멸이 나.,0,1,0,0,0,0,0,0
6,오늘 진짜 오랜만에 여행을 가는데 부모님이 싸우셔서 속상해.,0,0,0,0,0,0,1,0
4,오늘 정말 비참했어. 마무리했던 업무를 처음부터 다시 작업해야 됐거든.,0,0,0,0,1,0,0,0
1,육십 년 함께 산 남편이 얼마 전에 저세상으로 갔어.,0,1,0,0,0,0,0,0
2,재정적으로 힘든데 건물주도 사정이 안 좋아 내가 병원에 입원한다 한들 월세를 안 내려줄 것 같아.,0,0,1,0,0,0,0,0
4,검사를 앞두고 술을 마시다니 한심해 죽겠어.,0,0,0,0,1,0,0,0
5,지금까지 고생한 보람이 있어. 노후에 신나게 즐기면서 살 거야.,0,0,0,0,0,1,0,0
6,감기에 걸렸는데 폐질환이 없어서 주사를 맞고 약을 먹으면 나을 것 같다고 의사가 말하더라.,0,0,0,0,0,0,1,0
4,간암으로 친구 한 명이 세상을 떠났는데 장례식장에서 술 마음껏 먹으려니 눈치 보이네.,0,0,0,0,1,0,0,0
3,우리 부모님은 나에게 너무 많은 걸 기대해서 힘들어.,0,0,0,1,0,0,0,0
0,아기를 재우고 난 뒤 무알콜 맥주라도 마시면 기분이 한결 나아지는 것 같아.,1,0,0,0,0,0,0,0
2,요즘 일을 하는데 실수가 꽤 있어서 걱정되네.,0,0,1,0,0,0,0,0
5,심지어 친구에게 이 개념을 설명해 줄 수 있을 정도로 완벽하게 이해했어.,0,0,0,0,0,1,0,0
4,나도 부모라고 자식을 먼저 챙기게 돼. 모두 신경 쓰려니 너무 힘들어.,0,0,0,0,1,0,0,0
1,학원을 다녀도 따로 과외를 받는 애들을 성적으로 이길 수 없다는 걸 알고 실망했어.,0,1,0,0,0,0,0,0
3,나도 게임을 배워볼까 해.,0,0,0,1,0,0,0,0
0,힘들게 들어온 회사가 기대한 만큼 좋지도 않고 내 직무와 상관없는 일을 시키네.,1,0,0,0,0,0,0,0
6,정말 감사해. 너무 축복스러운 일인 것 같아.,0,0,0,0,0,0,1,0
1,친구들과 친하게 지내려고 하는데 그게 잘 안 돼.,0,1,0,0,0,0,0,0
6,아이가 이 세상에 나와준 것만으로도 더할 나위 없이 고맙더라고.,0,0,0,0,0,0,1,0
7,맞아. 바빠서 자주 못 봤는데 자주 봐야겠어.,0,0,0,0,0,0,0,1
3,내가 더 똑똑했으면 아이들이 더 멋있었을 텐데. 내가 너무 무식해서 안 될 거야.,0,0,0,1,0,0,0,0
5,근력 운동을 더 열심히 해야겠어.,0,0,0,0,0,1,0,0
0,어릴 적 교육을 제대로 받지 못한 탓에 막노동밖에 못 하는 자신이 너무 싫어.,1,0,0,0,0,0,0,0
2,빨리 낫기를 바란다고 편지쓰려고. 처음 다친거라 더 아플텐데 한숨만 나오네.,0,0,1,0,0,0,0,0
1,노후 준비를 끝내고 은퇴를 해야 했는데 마음 먹은 대로 할 수 없는 부분이라 아쉽네.,0,1,0,0,0,0,0,0
2,내가 잘할 수 있는 걸 찾아서 실천하고 싶어.,0,0,1,0,0,0,0,0
4,내가 오늘 회사에서 그만 실수를 했어.,0,0,0,0,1,0,0,0
2,남편이 예전처럼 말도 많아지고 살갑게 대해줬으면 좋겠어.,0,0,1,0,0,0,0,0
5,아르바이트 시급이 너무 낮아서 사장님께 올려달라고 했더니 흔쾌히 올려주신다고 해서 놀랐어.,0,0,0,0,0,1,0,0
1,응. 학교에 가고싶지도 않아. 어떻게 해야할지 모르겠어.,0,1,0,0,0,0,0,0
5,요즘에 외식을 못했는데 간만에 가서 더 신이 나.,0,0,0,0,0,1,0,0
4,엄마한테 솔직하게 말하고 정신과 상담을 다녀서 고쳐볼래.,0,0,0,0,1,0,0,0
1,일단 아들과 대화를 나눠봐야겠어.,0,1,0,0,0,0,0,0
1,그래도 이제 극복해야하지 않나 생각중이야.,0,1,0,0,0,0,0,0
0,남편의 역할을 잘하지 못하는 것 같아서 한심스러워.,1,0,0,0,0,0,0,0
5,몰라. 다른 친구가 내 뒷얘기를 한거같아.,0,0,0,0,0,1,0,0
0,그렇지. 내 기준대로 꾸준히 운동하면서 체중 유지 건강 유지를 위해 노력해야겠어.,1,0,0,0,0,0,0,0
0,은퇴를 해도 주변 이것저것 정리할 일이 참 많아서 귀찮고 짜증나네.,1,0,0,0,0,0,0,0
6,응. 업무 환경 개선 차원에서 그렇게 결정이 났다는데 참 좋은 회사야.,0,0,0,0,0,0,1,0
0,이제는 경제적으로도 부담이 되서 나에게 그만 기대했으면 좋겠어.,1,0,0,0,0,0,0,0
0,밤을 새워서 공부했는데도 아무런 효과가 없었어. 내가 하는 일이 다 그렇지 뭐.,1,0,0,0,0,0,0,0
1,엄마 아빠가 요즘 자주 다퉈서 집에 들어 가기도 싫다.,0,1,0,0,0,0,0,0
3,내가 느끼는 솔직한 감정을 자식들과 대화로써 풀어봐야겠어.,0,0,0,1,0,0,0,0
5,아직 아내는 모르는데 아내도 함께 기뻐할 걸 생각하니 웃음이 절로 나네.,0,0,0,0,0,1,0,0
2,내가 나이가 제일 많거든.,0,0,1,0,0,0,0,0
6,의사가 암 선고를 내렸어. 그 이야기를 듣는 순간에는 마음이 안 좋았어.,0,0,0,0,0,0,1,0
7,아무것도 안 하고 온종일 뒹굴뒹굴하면서 쉴까 봐.,0,0,0,0,0,0,0,1
6,그러고 싶은데 내가 일 처리가 빠르고 정확해서 대부분의 일을 나한테 맡기셔.,0,0,0,0,0,0,1,0
2,오늘 다섯 시에 혜인이랑 만나기로 했는데 네 시 반부터 혜인이한테 연락이 안 와.,0,0,1,0,0,0,0,0
0,내 동생이 학교폭력을 당하고 있는걸 오늘 알게 되어서 화가 나.,1,0,0,0,0,0,0,0
7,많은 시행착오도 겪었지만 팀원들의 도움이 컸던 거 같아. 너무 고마웠어.,0,0,0,0,0,0,0,1
4,병원에 가서 상담을 받아보고 싶어. 그리고 아내에게 미안하다고 말해야겠어.,0,0,0,0,1,0,0,0
1,응. 이 돈으로 언제 집사고 차 사고 결혼하고 할지 모르겠다.,0,1,0,0,0,0,0,0
1,내가 요즘 확실히 의기소침해진 것 같아,0,1,0,0,0,0,0,0
4,지병이 생겨서 앞으로의 미래가 걱정되고 불안해.,0,0,0,0,1,0,0,0
1,부모님께 미리 잘 해드리지 못한 것이 후회되지만 너무 늦은 것 같아.,0,1,0,0,0,0,0,0
5,앞으로의 회사를 어떻게 이끌어갈지 고민이야.,0,0,0,0,0,1,0,0
7,다들 인격적으로도 능력적으로도 배울 점이 많은 사람들이야. 내가 인복이 좀 있나 봐.,0,0,0,0,0,0,0,1
1,아빠가 술 마시고 들어오면 엄마를 때려. 엄마가 너무 걱정돼.,0,1,0,0,0,0,0,0
3,그냥 마음을 편히 먹고 넘어가는 게 좋을 것 같아.,0,0,0,1,0,0,0,0
5,내가 열심히 모아서 장만한 거라서 정말 뿌듯하네.,0,0,0,0,0,1,0,0
4,최근에 놀다가 팔을 다쳤는데 어머니께서 걱정이 크셔서 너무 죄송한 마음이 들어.,0,0,0,0,1,0,0,0
2,반대편의 직장 동료가 다리를 너무 심하게 떨어서 신경 쓰여.,0,0,1,0,0,0,0,0
0,학교 끝나고 나도 내 할 일이 있는데 자꾸 학교에 잡아두려고 하시니까 기분 나빠.,1,0,0,0,0,0,0,0
2,원래 평소에 예민한 친구긴 해. 그래도 갑자기 이렇게 연락하지 말라고 해버릴 줄은 몰랐어.,0,0,1,0,0,0,0,0
5,많이 힘들었지만 무사히 통과되어 다행이야.,0,0,0,0,0,1,0,0
0,책을 읽는 게 낙이었는데 책을 오래 읽는 것도 눈이 아파.,1,0,0,0,0,0,0,0
7,내가 더 잘 할 수 있다는 걸 보여줘야겠어. ,0,0,0,0,0,0,0,1
0,상사가 매년 본인과 같은 학교 출신에게 좋은 점수를 줬다는 소문 때문에 억울한 기분이야.,1,0,0,0,0,0,0,0
4,김 씨가 암으로 죽었는데 보험금을 내놓으라고 난리 치네.,0,0,0,0,1,0,0,0
6,유지가 어렵지만 나중에 다 도움이 될 거야. 이런 삶에 감사하며 살아야지.,0,0,0,0,0,0,1,0
7,소화 불량으로 병원에서 검진을 받았는데 오늘 결과가 나왔어.,0,0,0,0,0,0,0,1
4,친구한테 고민상담을 받아야겠어.,0,0,0,0,1,0,0,0
3,남편을 간호하느라 신청해서 듣던 영어 수업을 못 듣고 있어.,0,0,0,1,0,0,0,0
1,일주일에 한 번씩 자식들과의 시간을 가지면 극복할 수 있을 것 같아.,0,1,0,0,0,0,0,0
3,금일부터 공부를 열심히 할 거야.,0,0,0,1,0,0,0,0
4,우리 딸에게 돈 때문에 많은 걸 해주지 못하는 게 너무 안타까워.,0,0,0,0,1,0,0,0
3,요즘 기분도 나쁘고 몸컨디션도 너무 좋지 않아.,0,0,0,1,0,0,0,0
2,만성질환으로 늘 무기력해서 하루하루 힘들어.,0,0,1,0,0,0,0,0
3,상사가 나보고 옷 좀 사 입으라고 말하는데 너무 상처야.,0,0,0,1,0,0,0,0
0,전에는 혼자여도 괜찮았는데 늙어서 그런지 많이 약해졌나 봐. 약해진 나 자신이 실망스러워.,1,0,0,0,0,0,0,0
2,선생님이나 부모님께도 이야기해봤지만 무리는 무리라고. 능력껏 하래.,0,0,1,0,0,0,0,0
4,나도 연애할 수 있을까? 소개해줄 사람도 없고 직장은 남자만 있어.,0,0,0,0,1,0,0,0
7,남자친구가 자꾸 결혼하자고 하는데 나는 빨리하기 싫다고 말하다가 싸웠어.,0,0,0,0,0,0,0,1
5,어린 조카가 입을만한 옷을 사주고 싶어.,0,0,0,0,0,1,0,0
7,이번에 기말고사에서 수학 만점을 받았어.,0,0,0,0,0,0,0,1
0,배운 게 없으니 나이 들수록 무시만 당하고 사는 것 같아.,1,0,0,0,0,0,0,0
4,일하긴 하는데 벌이가 변변치 않아 가족들한테 미안하네.,0,0,0,0,1,0,0,0
2,정년이 다되도록 가족을 위에 일했는데 나를 무시하니 지난 세월에 환멸을 느껴.,0,0,1,0,0,0,0,0
7,손주랑 같이 지낼 시간이 많아 헬스장을 같이 등록해서 너무 기뻐.,0,0,0,0,0,0,0,1
0,응. 하루빨리 물어봐야겠어. 너무 화가 나.,1,0,0,0,0,0,0,0
0,담배 심부름 시킨 적있어. 날 사람 이하로 보나봐.,1,0,0,0,0,0,0,0
3,돈을 벌기 위해 아르바이트도 해야 하고 동생들도 돌봐야 해서 더욱 힘든 것 같아.,0,0,0,1,0,0,0,0
4,면접에 강하니까 수시를 준비하는 게 더 좋을 것 같긴 해.,0,0,0,0,1,0,0,0
2,친구와의 약속을 지키지 못해서 민망하고 미안해.,0,0,1,0,0,0,0,0
5,아내가 병실에 누워있는 모습만 봤는데 이제는 같이 산책할 수 있어서 기뻐!,0,0,0,0,0,1,0,0
5,은퇴하고 집 하나 달랑 있는데 보유세가 왜 이렇게 많이 나와.,0,0,0,0,0,1,0,0
3,건강에 좋다고 하여 비싼 건강보조제를 사 먹었는데 나쁜 성분이 들어있다고 하네.,0,0,0,1,0,0,0,0
7,현재 다니는 직장을 열심히 다녀야지.,0,0,0,0,0,0,0,1
6,알겠어. 지켜봐. 언젠가는 나의 값어치를 알려주겠어.,0,0,0,0,0,0,1,0
2,아들하고 진솔하게 대화를 해봐야겠어.,0,0,1,0,0,0,0,0
5,그게 그렇게 오른다네. 잘하면 퇴직 전에 한몫 챙기겠어! 나도 이제라도 할까 싶은데 너무 올랐을까?,0,0,0,0,0,1,0,0
1,생활비 운용 관련해서 의논하다가 충돌했어.,0,1,0,0,0,0,0,0
1,상사의 말을 새겨듣지 않아서 또 실수를 하고 말았어. 너무 슬프다,0,1,0,0,0,0,0,0
3,더 이상은 건강이 악화되지 않게 열심히 관리해야 할 것 같아.,0,0,0,1,0,0,0,0
0,여자친구가 나에게 거짓말을 했어. 정말 화가나.,1,0,0,0,0,0,0,0
0,손이 불편하니 친구들과 같이하는 게임상에서 혼자 느리게 행동해서 열등감이 느껴져.,1,0,0,0,0,0,0,0
1,응 정말 고마운 게 너무 많아. 난 정말 운이 좋은 사람 같아.,0,1,0,0,0,0,0,0
0,내가 소리를 지르니 내 옆에 아무도 없어.,1,0,0,0,0,0,0,0
6,인터넷에 감사하는 마음을 담아 인증샷을 올릴 거야.,0,0,0,0,0,0,1,0
2,동기랑 동갑인 줄 알고 반말 썼는데 나보다 나이가 더 많았어. 너무 당혹스러워.,0,0,1,0,0,0,0,0
5,신랑과 나는 아이들 성적 이야기만 나오면 이성적인 대화가 안 돼.,0,0,0,0,0,1,0,0
1,얼마나 더 노력해야 할지 막막해.,0,1,0,0,0,0,0,0
3,아내는 항상 벌은 만큼 소비를 해. 그래 놓고 노후 준비를 못했다고 잔소리를 들었어.,0,0,0,1,0,0,0,0
6,내 동생이 이번에 공무원 시험을 봐.,0,0,0,0,0,0,1,0
7,그래도 역시 부모님께는 빨리 드리는 게 나을 것 같아.,0,0,0,0,0,0,0,1
7,남자친구로부터 프러포즈를 받았어.,0,0,0,0,0,0,0,1
0,내 능력으로 무슨 다른 일. 나이도 있고 쉽지가 않아.,1,0,0,0,0,0,0,0
6,짐이 꽤 무거웠는데 같이 들어줘서 너무 고마웠어.,0,0,0,0,0,0,1,0
1,내 사업은 아내의 힘이 컸지. 이제  즐기며 살려고 하는데 아내가 덜컥 중병을 앓으니  아내가 불쌍해.,0,1,0,0,0,0,0,0
7,이제는 은퇴할 날만 기다려. 그래서 마음이 편안해.,0,0,0,0,0,0,0,1
1,너무 속상하고 내가 대신 아프고 싶은 심정이야. 너무 안타까울 뿐이야.,0,1,0,0,0,0,0,0
4,아들의 결혼식 생각은 매우 즐겁지만 아내가 너무 그리워. 아들이 서운해하진 않을까?,0,0,0,0,1,0,0,0
4,우리 언니가 과외를 해준다고 했는데 게임 하느라 다 잊어버렸네. 어떡하면 좋지?,0,0,0,0,1,0,0,0
3,하 오늘 너무 힘들다.,0,0,0,1,0,0,0,0
5,간만에 외식이나 할까 하고. 돼지갈빗집에 갈 거야. ,0,0,0,0,0,1,0,0
2,나에게도 이런 병이 찾아오다니 씁쓸하네. 난 건강할 줄만 알았는데.,0,0,1,0,0,0,0,0
2,내가 김 씨가 치질에 걸렸다는 소문을 냈는데 김 씨가 나를 찾아와 해코지 할까 봐 걱정돼.,0,0,1,0,0,0,0,0
2,오늘부터 각자 잘하는 걸 생각해서 취직 활동을 시작하자고 이야기해볼래.,0,0,1,0,0,0,0,0
2,아직 신입사원으로 입사한 지 몇 달 되었는데도 실수가 많아서 걱정이야. 초조해.,0,0,1,0,0,0,0,0
6,진실을 알고있던 친구가 오해를 풀어주면서 끝났어.,0,0,0,0,0,0,1,0
0,나도 아프고 기운이 없는데 나이 들고 병든 아내를 돌보고 부양하는 것이 힘에 부쳐. 요양병원에 보내면 힘을 덜 텐데 그럴 형편이 안 돼.,1,0,0,0,0,0,0,0
0,요즘 날씨가 좋으니 온천여행 대신에 가까운 곳 나들이라도 다녀와야겠어.,1,0,0,0,0,0,0,0
2,이제 은퇴 후 노후를 생각해야 하는데 막막해.,0,0,1,0,0,0,0,0
3,결혼식에 참석해서 그 많은 남자들 중 누구와 결혼하는지 봐야겠어.,0,0,0,1,0,0,0,0
1,대출금이 한두 푼이 아니야. 자식들 대학도 보내야 하고 우울하네.,0,1,0,0,0,0,0,0
7,아내도 나도 서로 걱정하느라 이만저만이 아니었는데 정말 감사해.,0,0,0,0,0,0,0,1
0,일을 미루고 쌓아 놓으니 퇴근이 자꾸 늦어지잖아.,1,0,0,0,0,0,0,0
0,프로젝트가 무사히 끝나면 팀원 모두에게 소정의 보너스를 지급하려고 해.,1,0,0,0,0,0,0,0
7,앞으로는 새로운 모임도 잘 나갈 수 있을 거 같아. 내가 생각보다 인기가 많은 사람이더라고.,0,0,0,0,0,0,0,1
5,친구와 오랜만에 영화를 보러 가기로 했는데 벌써 흥분돼!,0,0,0,0,0,1,0,0
2,학원 다니기 싫다고 여러번 얘기했는데 말을 아예 듣지않어. 회의적이야.,0,0,1,0,0,0,0,0
3,나는 사실 누가 채소를 가져갔는지 알고 있어.,0,0,0,1,0,0,0,0
4,우선 친구한테 한 번 더 사과하고 내가 같이 지원해도 될지 물어봐야겠어.,0,0,0,0,1,0,0,0
1,처음엔 힘들었는데 계속되다 보니 거기에 무신경해지고 있다는 게 더 무서워.,0,1,0,0,0,0,0,0
6,낯간지럽지만 이 기쁨 마음을 전해야겠지. 그럼 아들도 좋아할 거야.,0,0,0,0,0,0,1,0
3,경로당에 앞으로 나가지 않아야겠어. 내 욕하는 사람 뭐가 좋다고 만나.,0,0,0,1,0,0,0,0
2,부모님께 말씀드려서 해결해봐야겠어.,0,0,1,0,0,0,0,0
1,공부도 못 하는데 꿈도 없어. 울적해.,0,1,0,0,0,0,0,0
6,또 건강이 재산이라는 말도 나이 들어가며 겪을수록 옳은 말이라는 생각이 들어.,0,0,0,0,0,0,1,0
2,내가 건강이 나쁘다고 소문이 나서 친구들도 만나려고 하지 않는 눈치야. 인간관계에 대해 회의감이 들어.,0,0,1,0,0,0,0,0
4,복권에 당첨되었다는 사실을 알게 되면 모두 내 재산을 탐낼 것 같아.,0,0,0,0,1,0,0,0
6,아내가 아니었다면 건강한 이미 몸이 망가졌을 거라서 난 아내 말은 무조건 신뢰하지.,0,0,0,0,0,0,1,0
4,앞으로는 거짓말하지 말고 되도록이면 사실대로 말해야겠어.,0,0,0,0,1,0,0,0
7,아무래도 이장하고 상의를 하는 게 좋겠어.,0,0,0,0,0,0,0,1
3,휴가를 내어 잠시 쉬며 재충전하는 시간을 가져야겠어.,0,0,0,1,0,0,0,0
7,동생이 연락이 안 돼서 너무 걱정을 했어.,0,0,0,0,0,0,0,1
0,친구가 은근히 나를 무시해서 화가 나. 친구 관계를 끊어야 할까?,1,0,0,0,0,0,0,0
6,남편을 위해서 남겨둔 목돈으로 함께 해외여행을 가고 싶어.,0,0,0,0,0,0,1,0
7,은퇴를 하자마자 아내와 약속한 여행을 하기 위해 캠핑카를 주문했어.,0,0,0,0,0,0,0,1
1,아파트 단지 안에 있는 노인정에 가서 사람들을 많이 만날 거야.,0,1,0,0,0,0,0,0
6,지금 만나는 여자친구와 꼭 결혼하고 싶어.,0,0,0,0,0,0,1,0
1,부모님은 나한테 전혀 관심이 없는 것 같아. 내가 뭘 먹고 다니는지도 몰라.,0,1,0,0,0,0,0,0
1,대학 졸업도 얼마 안 남았는데 회사 필기시험이 공부가 안돼서 스트레스야.,0,1,0,0,0,0,0,0
5,몸에 좋지 않아서 먹지 못했던 치킨을 얼른 먹고 싶네.,0,0,0,0,0,1,0,0
2,이러다 크게 싸우게 될 것 같아.,0,0,1,0,0,0,0,0
0,친구니까 오히려 내 단점을 더 감싸줘야 하는 것 아니야?,1,0,0,0,0,0,0,0
7,대장 내시경 중 혹을 제거한 후 경과를 기다리는 동안 너무 마음 졸였는데 악성종양이 아니라서 정말 다행이야.,0,0,0,0,0,0,0,1
0,이 나이가 될 때까지 이룬 게 하나도 없네. 내 인생에 대해 후회스럽다.,1,0,0,0,0,0,0,0
5,다음 달에도 인센티브를 받아보려고 생각 중이야.,0,0,0,0,0,1,0,0
0,사람들이랑 너무 친해지는 건 안 좋은 것 같아.,1,0,0,0,0,0,0,0
3,항상 나만 청소를 하고 있어. 나도 하기 싫지만 아무도 안 하니 내가 희생하고 있는 거야.,0,0,0,1,0,0,0,0
2,노후준비 미비로 짜증 내는 남편이 걱정스럽네.,0,0,1,0,0,0,0,0
7,아내가 중이염 수술을 받고 나서 전보다 더 내 얘기를 더 잘 들을 수 있게 됐어.,0,0,0,0,0,0,0,1
5,하루하루 눈물만 났는데 방금 거래처에서 해결했다고 연락이 왔어.,0,0,0,0,0,1,0,0
7,요가나 명상이 좋다고 들었는데 한번 도전해보고 싶어!,0,0,0,0,0,0,0,1
3,이제 곧 퇴직인데 모아놓은 돈도 없고 난 왜 이렇게 불행한 걸까?,0,0,0,1,0,0,0,0
6,내가 직접 만든 쿠키를 선물해 드리려고 해.,0,0,0,0,0,0,1,0
6,이번 프로젝트에서 멋진 선배를 만나게 되었어. 믿고 배울만한 사수를 얻은 것 같아.,0,0,0,0,0,0,1,0
4,염려도 되고 마지막으로 약속한 건데 어겨서 죄책감이 느껴지네.,0,0,0,0,1,0,0,0
4,젊었을 때는 교육 수준이 높은 게 자랑이었는데 노년이 되니 이젠 그 반대가 됐어.,0,0,0,0,1,0,0,0
1,내가 그러고 싶어서 그런 것도 아닌데 몸에 장애가 생겼지 뭐야?,0,1,0,0,0,0,0,0
4,케겔 운동을 하라고 하네. 운동으로 나아진다니 다행이라는 생각도 들고.,0,0,0,0,1,0,0,0
0,병원에 갔는데 치매 초기래. 내가 결국 이렇게 되려고 아등바등 일하고 살았나 몰라.,1,0,0,0,0,0,0,0
5,나랑 아빠가 제일 좋아하는 야구팀이 이겼어. 정말 기뻐!,0,0,0,0,0,1,0,0
2,그런데 며칠 지나면 대부분 괜찮아진다고 그러더라고.,0,0,1,0,0,0,0,0
3,옆에서 누군가 나 좀 위로해 줬으면 좋겠어.,0,0,0,1,0,0,0,0
0,치매 판정을 받아 일터에서 해고돼서 그저 가난한 늙은이가 됐어. 이런 내가 싫어.,1,0,0,0,0,0,0,0
5,앞으로도 계속 행복한 가족이고 싶어 난 늘 배려하는 마음을 잃지 않을 거야.,0,0,0,0,0,1,0,0
0,일단 기다려보면서 빨리 검진 결과가 나오기를 기도해야겠어.,1,0,0,0,0,0,0,0
6,오늘 대학 합격 통지를 받았어. 엄마가 너무 기뻐하는데 나는 눈물이 났어.,0,0,0,0,0,0,1,0
1,부모님께 한 번 이야기 해봐야겠어.,0,1,0,0,0,0,0,0
5,정말 좋아. 오랫동안 기다려 왔거든.,0,0,0,0,0,1,0,0
5,응. 요즘처럼 취업이 힘든 상황에 한 번에 합격하다니 너무 대견해.,0,0,0,0,0,1,0,0
3,지금까지 내가 결혼 생활을 잘못 해 온 건가 싶고 후회가 돼.,0,0,0,1,0,0,0,0
0,내가 말을 하는데 다들 아무 말도 안 하고 날 이상한 눈빛으로 바라봤어.,1,0,0,0,0,0,0,0
6,연애는 오래 하기 힘든 것 같아.,0,0,0,0,0,0,1,0
6,선생님 덕분에 날 괴롭히던 애들과 오해를 풀고 잘 지낼 수 있게 됐어. 정말 감사드려.,0,0,0,0,0,0,1,0
0,아무래도 일을 찾아봐야 할 거 같아. 아파트 경비에 지원해 봐야겠어.,1,0,0,0,0,0,0,0
3,난 컴퓨터 전공하고 싶은데 자꾸 의사라는 희망을 강요하셔. 무시당하는 심정이야.,0,0,0,1,0,0,0,0
4,노동 연합에 신고라도 하면 해결될까?,0,0,0,0,1,0,0,0
6,그럴 때마다 항상 고맙다고 말하면서 손을 꼭 잡곤 해. 남편은 무뚝뚝한 성격이라 딱히 말은 길게 안 하지만 씩 웃고는 하지. 그게 좋다는 표현인 걸 나는 잘 알아.,0,0,0,0,0,0,1,0
7,갑자기 없으니까 너무 허전하고 걱정이 되었는데 잘 지낸다고 하니 안심이 돼.,0,0,0,0,0,0,0,1
5,우리 아이는 여자 아이야. 아내처럼 예쁘고 건강하게 자랐으면 좋겠어.,0,0,0,0,0,1,0,0
0,응. 지금 저 친구가 매우 다친 것 같아. 어서 경찰이 와야 할텐데.,1,0,0,0,0,0,0,0
